incident_id,delivery_id,incident_date,incident_type,resolution_status,delivery_status
INC000001,D0000006,2024-10-18,Damaged parcel,Resolved,VALID
INC000002,D0000007,2024-10-24,Late delivery,Resolved,VALID
INC000003,D0000021,2024-10-24,Customer complaint,Resolved,VALID
INC000004,D0000024,2024-10-07,Vehicle breakdown,Resolved,VALID
INC000005,D0000028,2024-10-06,Damaged parcel,Resolved,VALID
INC000006,D0000032,2024-10-23,Vehicle breakdown,Resolved,VALID
INC000007,D0000037,2024-10-11,Damaged parcel,Resolved,VALID
INC000008,D0000042,2024-10-04,Customer complaint,Resolved,VALID
INC000009,D0000045,2024-10-24,Damaged parcel,Resolved,VALID
INC000010,D0000054,2024-10-31,Vehicle breakdown,Resolved,VALID
INC000011,D0000057,2024-10-14,Vehicle breakdown,Resolved,VALID
INC000012,D0000066,2024-10-07,Wrong address,Resolved,VALID
INC000013,D0000076,2024-10-27,Customer complaint,Resolved,VALID
INC000014,D0000077,2024-10-17,Damaged parcel,Resolved,VALID
INC000015,D0000085,2024-10-27,Damaged parcel,Resolved,VALID
INC000016,D0000089,2024-10-15,Lost parcel,Resolved,VALID
INC000017,D0000093,2024-10-19,Lost parcel,Resolved,VALID
INC000018,D0000106,2024-10-23,Late delivery,Escalated,VALID
INC000019,D0000107,2024-10-11,Customer complaint,Resolved,VALID
INC000020,D0000113,2024-10-09,Customer complaint,Resolved,VALID
INC000021,D0000116,2024-10-01,Damaged parcel,Resolved,VALID
INC000022,D0000122,2024-10-22,Wrong address,Resolved,VALID
INC000023,D0000131,2024-11-19,Vehicle breakdown,Pending,VALID
INC000024,D0000132,2024-11-04,Wrong address,Escalated,VALID
INC000025,D0000137,2024-11-14,Wrong address,Resolved,VALID
INC000026,D0000147,2024-11-04,Late delivery,Resolved,VALID
INC000027,D0000151,2024-11-10,Damaged parcel,Resolved,VALID
INC000028,D0000154,2024-11-18,Damaged parcel,Resolved,VALID
INC000029,D0000155,2024-11-22,Damaged parcel,Resolved,VALID
INC000030,D0000169,2024-11-26,Customer complaint,Resolved,VALID
INC000031,D0000170,2024-11-09,Wrong address,Resolved,VALID
INC000032,D0000177,2024-11-04,Lost parcel,Resolved,VALID
INC000033,D0000180,2024-11-28,Wrong address,Pending,VALID
INC000034,D0000182,2024-11-01,Late delivery,Resolved,VALID
INC000035,D0000189,2024-11-23,Damaged parcel,Resolved,VALID
INC000036,D0000203,2024-11-29,Customer complaint,Resolved,VALID
INC000037,D0000205,2024-11-27,Vehicle breakdown,Resolved,VALID
INC000038,D0000207,2024-11-15,Customer complaint,Pending,VALID
INC000039,D0000217,2024-11-04,Customer complaint,Resolved,VALID
INC000040,D0000221,2024-11-25,Vehicle breakdown,Resolved,VALID
INC000041,D0000225,2024-11-30,Damaged parcel,Pending,VALID
INC000042,D0000241,2024-12-28,Customer complaint,Pending,VALID
INC000043,D0000242,2024-12-18,Damaged parcel,Escalated,VALID
INC000044,D0000243,2024-12-10,Late delivery,Resolved,VALID
INC000045,D0000249,2024-12-28,Vehicle breakdown,Resolved,VALID
INC000046,D0000250,2024-12-31,Late delivery,Resolved,VALID
INC000047,D0000253,2024-12-13,Vehicle breakdown,Resolved,VALID
INC000048,D0000254,2024-12-14,Vehicle breakdown,Resolved,VALID
INC000049,D0000259,2024-12-18,Lost parcel,Resolved,VALID
INC000050,D0000268,2024-12-29,Late delivery,Resolved,VALID
INC000051,D0000273,2024-12-19,Customer complaint,Resolved,VALID
INC000052,D0000274,2024-12-06,Damaged parcel,Pending,VALID
INC000053,D0000289,2024-12-06,Vehicle breakdown,Resolved,VALID
INC000054,D0000291,2024-12-16,Damaged parcel,Resolved,VALID
INC000055,D0000292,2024-12-01,Wrong address,Resolved,VALID
INC000056,D0000305,2024-12-14,Wrong address,Resolved,VALID
INC000057,D0000306,2024-12-12,Damaged parcel,Resolved,VALID
INC000058,D0000310,2024-12-23,Lost parcel,Resolved,VALID
INC000059,D0000317,2024-12-04,Customer complaint,Resolved,VALID
INC000060,D0000319,2024-12-18,Damaged parcel,Resolved,VALID
INC000061,D0000325,2024-12-11,Vehicle breakdown,Resolved,VALID
INC000062,D0000328,2024-12-04,Late delivery,Resolved,VALID
INC000063,D0000332,2024-12-14,Damaged parcel,Resolved,VALID
INC000064,D0000337,2024-12-21,Damaged parcel,Resolved,VALID
INC000065,D0000344,2025-01-27,Customer complaint,Resolved,VALID
INC000066,D0000347,2025-01-29,Customer complaint,Resolved,VALID
INC000067,D0000354,2025-01-25,Lost parcel,Resolved,VALID
INC000068,D0000355,2025-01-03,Late delivery,Resolved,VALID
INC000069,D0000367,2025-01-30,Damaged parcel,Resolved,VALID
INC000070,D0000379,2025-01-29,Vehicle breakdown,Resolved,VALID
INC000071,D0000380,2025-01-09,Wrong address,Resolved,VALID
INC000072,D0000383,2025-01-29,Customer complaint,Pending,VALID
INC000073,D0000386,2025-01-04,Late delivery,Resolved,VALID
INC000074,D0000388,2025-02-02,Vehicle breakdown,Resolved,VALID
INC000075,D0000393,2025-02-07,Damaged parcel,Resolved,VALID
INC000076,D0000394,2025-02-14,Damaged parcel,Resolved,VALID
INC000077,D0000396,2025-02-07,Lost parcel,Escalated,VALID
INC000078,D0000400,2025-02-14,Lost parcel,Resolved,VALID
INC000079,D0000404,2025-02-26,Damaged parcel,Resolved,VALID
INC000080,D0000407,2025-02-10,Damaged parcel,Resolved,VALID
INC000081,D0000413,2025-02-11,Damaged parcel,Resolved,VALID
INC000082,D0000416,2025-02-22,Damaged parcel,Pending,VALID
INC000083,D0000427,2025-02-22,Wrong address,Resolved,VALID
INC000084,D0000428,2025-02-10,Late delivery,Resolved,VALID
INC000085,D0000436,2025-03-17,Damaged parcel,Resolved,VALID
INC000086,D0000439,2025-03-17,Wrong address,Escalated,VALID
INC000087,D0000444,2025-03-08,Damaged parcel,Escalated,VALID
INC000088,D0000447,2025-03-10,Wrong address,Resolved,VALID
INC000089,D0000458,2025-03-25,Damaged parcel,Pending,VALID
INC000090,D0000467,2025-04-14,Vehicle breakdown,Resolved,VALID
INC000091,D0000471,2025-04-13,Customer complaint,Resolved,VALID
INC000092,D0000473,2025-04-14,Wrong address,Escalated,VALID
INC000093,D0000487,2025-04-26,Late delivery,Resolved,VALID
INC000094,D0000490,2025-04-27,Wrong address,Resolved,VALID
INC000095,D0000499,2025-05-27,Vehicle breakdown,Resolved,VALID
INC000096,D0000502,2025-05-05,Customer complaint,Resolved,VALID
INC000097,D0000504,2025-05-11,Lost parcel,Resolved,VALID
INC000098,D0000515,2025-06-10,Lost parcel,Resolved,VALID
INC000099,D0000520,2025-06-27,Vehicle breakdown,Resolved,VALID
INC000100,D0000537,2024-10-05,Damaged parcel,Resolved,VALID
INC000101,D0000541,2024-10-29,Customer complaint,Resolved,VALID
INC000102,D0000549,2024-10-11,Late delivery,Resolved,VALID
INC000103,D0000559,2024-10-07,Wrong address,Resolved,VALID
INC000104,D0000563,2024-10-02,Damaged parcel,Escalated,VALID
INC000105,D0000566,2024-10-01,Vehicle breakdown,Resolved,VALID
INC000106,D0000569,2024-10-29,Customer complaint,Resolved,VALID
INC000107,D0000571,2024-10-06,Wrong address,Pending,VALID
INC000108,D0000579,2024-10-18,Customer complaint,Resolved,VALID
INC000109,D0000589,2024-10-04,Late delivery,Resolved,VALID
INC000110,D0000592,2024-10-07,Vehicle breakdown,Resolved,VALID
INC000111,D0000594,2024-10-03,Damaged parcel,Resolved,VALID
INC000112,D0000596,2024-10-14,Vehicle breakdown,Resolved,VALID
INC000113,D0000605,2024-10-14,Damaged parcel,Escalated,VALID
INC000114,D0000608,2024-10-14,Damaged parcel,Resolved,VALID
INC000115,D0000609,2024-10-08,Late delivery,Resolved,VALID
INC000116,D0000631,2024-10-25,Wrong address,Resolved,VALID
INC000117,D0000640,2024-10-13,Lost parcel,Pending,VALID
INC000118,D0000645,2024-10-09,Lost parcel,Resolved,VALID
INC000119,D0000651,2024-10-06,Customer complaint,Resolved,VALID
INC000120,D0000658,2024-10-10,Wrong address,Resolved,VALID
INC000121,D0000662,2024-10-19,Damaged parcel,Resolved,VALID
INC000122,D0000676,2024-10-29,Lost parcel,Resolved,VALID
INC000123,D0000678,2024-10-18,Wrong address,Resolved,VALID
INC000124,D0000686,2024-10-27,Late delivery,Resolved,VALID
INC000125,D0000697,2024-10-02,Late delivery,Resolved,VALID
INC000126,D0000698,2024-10-23,Customer complaint,Resolved,VALID
INC000127,D0000707,2024-10-24,Vehicle breakdown,Resolved,VALID
INC000128,D0000708,2024-10-10,Vehicle breakdown,Resolved,VALID
INC000129,D0000717,2024-11-26,Customer complaint,Resolved,VALID
INC000130,D0000721,2024-11-14,Vehicle breakdown,Pending,VALID
INC000131,D0000730,2024-11-12,Customer complaint,Resolved,VALID
INC000132,D0000732,2024-11-17,Wrong address,Resolved,VALID
INC000133,D0000734,2024-11-16,Late delivery,Resolved,VALID
INC000134,D0000742,2024-11-20,Damaged parcel,Resolved,VALID
INC000135,D0000751,2024-11-28,Vehicle breakdown,Resolved,VALID
INC000136,D0000757,2024-11-21,Damaged parcel,Resolved,VALID
